"","name_img","whiteRatio","sizeRatio","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","fit.cluster"
"1","img-1.png",15,166,240,26,1,60,547,158,72,238,3,"0.0539906103286385",13
"2","img-10.png",1087,209,65,350,513,453,476,435,449,445,407,"0.428571428571429",26
"3","img-100.png",287,433,20,293,493,298,209,173,180,239,255,"0.30952380952381",5
"4","img-1000.png",185,233,254,170,406,184,184,296,377,70,83,"0.193548387096774",5
"5","img-1001.png",179,436,136,222,426,246,218,293,368,42,59,"0.1875",5
"6","img-1002.png",259,437,108,126,453,276,245,257,447,53,122,"0.246666666666667",5
"7","img-1003.png",1520,452,209,476,603,516,572,539,511,467,407,"0.5",18
"8","img-1004.png",880,304,440,509,386,390,421,191,77,586,489,"0.25",14
"9","img-1005.png",162,235,479,351,137,98,48,42,68,94,201,"0.337209302325581",13
"10","img-1006.png",134,178,536,127,155,104,55,57,46,75,264,"0.321428571428571",13
"11","img-1007.png",220,237,489,428,223,220,71,55,56,86,285,"0.295454545454545",13
"12","img-1008.png",191,266,450,358,225,154,96,31,60,84,264,"0.357142857142857",13
"13","img-1009.png",207,245,491,350,205,172,106,40,75,111,272,"0.327380952380952",13
"14","img-101.png",542,215,87,232,455,585,502,212,259,239,218,"0.285714285714286",17
"15","img-1010.png",250,331,407,112,46,41,96,509,477,239,229,"0.285714285714286",27
"16","img-1011.png",218,349,383,145,38,26,66,458,460,258,255,"0.294642857142857",27
"17","img-1012.png",279,353,345,239,35,45,42,401,511,308,273,"0.314516129032258",27
"18","img-1013.png",206,288,419,100,21,26,75,496,394,218,333,"0.283333333333333",27
"19","img-1014.png",272,329,333,180,15,35,79,317,509,326,379,"0.330645161290323",21
"20","img-1015.png",895,135,69,662,485,377,490,350,257,179,259,"0.269230769230769",30
"21","img-1016.png",995,120,169,608,398,443,385,274,240,335,362,"0.32",30
"22","img-1017.png",165,443,396,435,142,149,144,294,161,138,180,"0.205555555555556",13
"23","img-1018.png",677,381,55,330,492,516,480,304,496,259,94,"0.318181818181818",16
"24","img-1019.png",1167,421,55,151,543,628,521,490,511,516,332,"0.318181818181818",29
"25","img-102.png",1023,364,209,324,361,367,476,370,338,467,423,"0.547619047619048",3
"26","img-1020.png",362,416,225,711,364,303,357,202,315,80,59,"0.1875",24
"27","img-1021.png",256,239,313,530,280,314,283,192,539,19,168,"0.181034482758621",2
"28","img-1022.png",198,423,23,437,472,282,102,119,202,313,419,"0.35",5
"29","img-1023.png",264,338,136,465,576,322,188,159,202,218,419,"0.35",5
"30","img-1024.png",520,335,464,263,148,265,343,334,218,328,292,"0.761904761904762",2
"31","img-1025.png",450,3,1,11,106,107,2,2,383,547,626,"0.846153846153846",22
"32","img-1026.png",373,393,1,44,246,453,534,602,598,467,255,"0.142857142857143",23
"33","img-1027.png",358,342,1,55,269,401,294,129,37,146,397,"0.384615384615385",5
"34","img-1028.png",978,377,1,11,343,401,423,375,383,504,485,"0.307692307692308",3
